2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`ATTRIBUTE`, dataType=VARCHAR2, dataLength=240, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`LONG_VALUE`, dataType=LONG, dataLength=0, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`ARGUMENT_POSITION`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`DEFAULT_ANYDATA_VALUE`, dataType=ANYDATA, dataLength=4408, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`BENEFIT_TO_COST_RATIO`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`QUERY_TEXT`, dataType=LONG, dataLength=0, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`STR_VALUE`, dataType=VARCHAR2, dataLength=1028, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`ID`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`NUM_VALUE1`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`SUBFILTERTYPE`, dataType=VARCHAR2, dataLength=12, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`SCOPE`, dataType=VARCHAR2, dataLength=240, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`OWNER`, dataType=VARCHAR2, dataLength=128, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`STR_VALUE`, dataType=VARCHAR2, dataLength=1028, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`RUNID`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`FILTERID`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`PCT_PERFORMANCE_GAIN`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`RESULTSIZE`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`METADATA_ATTRIBUTE`, dataType=VARCHAR2, dataLength=19, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`SUBFILTERNUM`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`DATE_VALUE1`, dataType=DATE, dataLength=7, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`ARGUMENT_TYPE`, dataType=VARCHAR2, dataLength=257, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`STORAGE_IN_BYTES`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`RESPONSETIME`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`OWNER`, dataType=VARCHAR2, dataLength=128, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`ARGUMENT_TYPE`, dataType=VARCHAR2, dataLength=257, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`DEFAULT_VALUE`, dataType=VARCHAR2, dataLength=4000, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`FREQUENCY`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`MVIEW_OWNER`, dataType=VARCHAR2, dataLength=128, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`NUM_VALUE2`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`TOTAL`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`OUT_ARGUMENT`, dataType=VARCHAR2, dataLength=5, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`DIMENSION_NAME`, dataType=VARCHAR2, dataLength=128, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`LASTUSE`, dataType=DATE, dataLength=7, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`OWNER`, dataType=VARCHAR2, dataLength=128, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`OWNER#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`NAME`, dataType=VARCHAR2, dataLength=384, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`CON#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`LOGMNR_UID`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`LOGMNR_FLAGS`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`START_SCNBAS`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`START_SCNWRP`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`OBJ#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`CON_ID#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`DBID`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`CON_UID`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`CREATE_SCNWRP`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`CREATE_SCNBAS`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`FLAGS`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`STATUS`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`LOGMNR_UID`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`LOGMNR_FLAGS`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`VSN`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`FED_ROOT_CON_ID#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`CON#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`COLS`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`TYPE#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`ROBJ#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`RCON#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`ENABLED`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`DEFER`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`OBJ#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`LOGMNR_UID`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`LOGMNR_FLAGS`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`CON#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`OBJ#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`COL#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`POS#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`INTCOL#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`LOGMNR_UID`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`LOGMNR_FLAGS`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`OBJ#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`BO#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`COL#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`POS#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`SEGCOL#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`INTCOL#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`LOGMNR_UID`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`LOGMNR_FLAGS`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`FRAGOBJ#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`PARENTOBJ#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`TABFRAGOBJ#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`INDFRAGOBJ#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`FRAG#`, dataType=NUMBER, dataLength=22, identityColumn=NO}
2021-04-02 09:54:05 INFO  [hu.GenerateStructureFromOracle:56] 从数据库中拿到一条记录：OracleEntity{columnName=`LOGMNR_UID`, dataType=NUMBER, dataLength=22, identityColumn=NO}
